item,name
Q4665233,Abdul-Rashid Pelpuo
Q84044419,Abeiku Crentsil
Q27057633,Abena Osei Asare
Q104473249,Adams Abdul Salam
Q105699252,Adelaide Ntim
Q104091419,Agnes Naa Momo Lartey
Q61694536,Ahmed Ibrahim
Q104054230,Akanvariva Lydia Lamisi
Q61694718,Akuka Albert Alalzuuga
Q105712680,Akwasi Boateng
Q104698753,Akwasi Konadu
Q38803881,Alex Adomako-Mensah
Q104054147,Alex Blankson
Q61694538,Alex Tetteh Djornobuah
Q26464946,Alexander Afenyo-Markin
Q61694541,Alexander Roosevelt Hottordze
Q4723552,Alfred Oko Vanderpuije
Q16146239,Alhassan Bashir Fuseini
Q104704579,Alhassan Kobina Ghansah
Q16146242,Alhassan Sayibu Suhuyini
Q113708577,Alhassan Tampuli Sulemana
Q27975634,Ama Pomaa Boateng
Q459187,Ambrose Dery
Q61686734,Andrew Asiamah Amoako
Q61694545,Andrew Dari Chiwitey
Q61694546,Andy Kwame Appiah-Kubi
Q61694547,Angela Oforiwa Alorwu-Tay
Q61694720,Augustine Collins Ntim
Q61694551,Augustine Tawiah
Q16733370,Bede Ziedeng
Q30688553,Benito Owusu Bio
Q61694557,Benjamin Komla Kpodo
Q61694558,Benjamin Yeboah Sekyere
Q61694559,Benson Tongo Baba
Q61694560,Bernard Ahiafor
Q57915355,Betty Crosby Mensah
Q61694563,Bright Wireko-Brobby
Q34199479,Bryan Acheampong
Q34505430,Carlos Kingsley Ahenkorah
Q61694564,Cassiel Ato Forson
Q61694566,Charles Agbeve
Q61694569,Christian Corleytey Otuteye
Q61694570,Clement Abas Apaak
Q5131978,Cletus Apul Avoka
Q104054167,Collins Adomako-Mensah
Q5147367,Collins Dauda
Q26899268,Comfort Doyoe Cudjoe-Ghansah
Q58174790,Cynthia Mamle Morrison
Q104345150,Dakoa Newman
Q1160142,Daniel Botwe
Q26923790,Della Sowah
Q61694577,Dominic Akuritinga Ayine
Q61694576,Dominic Napare
Q30323575,Dominic Nitiwul
Q104374139,Dorcas Affo-Toffey
Q59698493,Dzifa Gomashie
Q61694579,Ebenezer Kojo Kum
Q16733482,Ebenezer Okletey Terlabi
Q61694581,Edward Abambire Bawa
Q16734231,Edwin Nii Lante Vanderpuye
Q30302039,Egyapa Mercer
Q16733634,Elizabeth Ofosu-Agyare
Q61694586,Elvis Morris Donkoh
Q30674983,Emmanuel Adjei Anhwere
Q61694725,Emmanuel Akwasi Gyamfi
Q5373131,Emmanuel Armah Kofi Buah
Q61694590,Emmanuel Kwasi Bedzrah
Q61694591,Emmanuel Marfo
Q61679998,Eric Afful
Q61694726,Eric Opoku
